id,nsensor,lat,lon,grupo,gdesc,x,y,gr,gg,gb,sensor_id,datatype
1094,648,-34.623806,-58.38013,0,Grupo id: 0,1814,1467,65,18,115,59,1094
1095,341,-34.625923,-58.379444,0,Grupo id: 0,1822,1497,65,18,115,59,1095
1096,407,-34.628395,-58.378674,0,Grupo id: 0,1831,1532,65,18,115,59,1096
1097,283,-34.631573,-58.378414,0,Grupo id: 0,1834,1577,65,18,115,59,1097
1098,318,-34.63369,-58.377815,0,Grupo id: 0,1841,1607,65,18,115,59,1098
1099,573,-34.636795,-58.37687,0,Grupo id: 0,1852,1651,65,18,115,59,1099
1100,0,-34.63983,-58.376266,0,Grupo id: 0,1859,1694,65,18,115,59,1100
1101,690,-34.642654,-58.375668,0,Grupo id: 0,1866,1734,65,18,115,59,1101
1102,1,-34.645195,-58.375065,0,Grupo id: 0,1873,1770,65,18,115,59,1102
1103,272,-34.64802,-58.37395,0,Grupo id: 0,1886,1810,65,18,115,59,1103
1104,681,-34.649857,-58.373093,0,Grupo id: 0,1896,1836,65,18,115,59,1104
1105,228,-34.652115,-58.37206,0,Grupo id: 0,1908,1868,65,18,115,59,1105
1106,391,-34.654373,-58.37129,0,Grupo id: 0,1917,1900,65,18,115,59,1106
9,916,-34.621548,-58.38039,1,Grupo id: 1,1811,1435,20,50,61,60,10009
10,556,-34.620415,-58.380478,1,Grupo id: 1,1810,1419,20,50,61,60,10010
11,315,-34.619076,-58.380478,1,Grupo id: 1,1810,1400,20,50,61,60,10011
12,981,-34.618015,-58.38056,1,Grupo id: 1,1809,1385,20,50,61,60,10012
13,605,-34.617027,-58.38065,1,Grupo id: 1,1808,1371,20,50,61,60,10013
14,241,-34.61583,-58.380733,1,Grupo id: 1,1807,1354,20,50,61,60,10014
15,196,-34.61477,-58.380733,1,Grupo id: 1,1807,1339,20,50,61,60,10015
16,281,-34.61371,-58.38082,1,Grupo id: 1,1806,1324,20,50,61,60,10016
17,272,-34.612087,-58.38082,1,Grupo id: 1,1806,1301,20,50,61,60,10017
18,987,-34.611168,-58.380905,1,Grupo id: 1,1805,1288,20,50,61,60,10018
19,964,-34.61032,-58.38082,1,Grupo id: 1,1806,1276,20,50,61,60,10019
20,974,-34.6094,-58.380905,1,Grupo id: 1,1805,1263,20,50,61,60,10020
21,596,-34.608555,-58.380905,1,Grupo id: 1,1805,1251,20,50,61,60,10021
22,461,-34.607708,-58.380993,1,Grupo id: 1,1804,1239,20,50,61,60,10022
23,670,-34.60686,-58.381077,1,Grupo id: 1,1803,1227,20,50,61,60,10023
24,417,-34.60559,-58.38125,1,Grupo id: 1,1801,1209,20,50,61,60,10024
25,694,-34.60446,-58.381165,1,Grupo id: 1,1802,1193,20,50,61,60,10025
26,848,-34.603333,-58.381077,1,Grupo id: 1,1803,1177,20,50,61,60,10026
27,26,-34.602486,-58.38142,1,Grupo id: 1,1799,1165,20,50,61,60,10027
28,514,-34.60164,-58.38142,1,Grupo id: 1,1799,1153,20,50,61,60,10028
29,876,-34.60051,-58.38142,1,Grupo id: 1,1799,1137,20,50,61,60,10029
30,497,-34.59966,-58.381508,1,Grupo id: 1,1798,1125,20,50,61,60,10030
31,78,-34.598602,-58.38159,1,Grupo id: 1,1797,1110,20,50,61,60,10031
32,80,-34.597614,-58.38159,1,Grupo id: 1,1797,1096,20,50,61,60,10032
33,166,-34.596413,-58.381763,1,Grupo id: 1,1795,1079,20,50,61,60,10033
34,493,-34.59493,-58.381935,1,Grupo id: 1,1793,1058,20,50,61,60,10034
35,787,-34.59373,-58.38185,1,Grupo id: 1,1794,1041,20,50,61,60,10035
36,314,-34.59218,-58.381763,1,Grupo id: 1,1795,1019,20,50,61,60,10036
37,491,-34.590553,-58.381763,1,Grupo id: 1,1795,996,20,50,61,60,10037
38,718,-34.589565,-58.38159,1,Grupo id: 1,1797,982,20,50,61,60,10038
39,108,-34.621475,-58.38125,2,Grupo id: 2,1801,1434,6,149,100,61,20039
40,463,-34.620346,-58.38125,2,Grupo id: 2,1801,1418,6,149,100,61,20040
41,518,-34.619217,-58.381336,2,Grupo id: 2,1800,1402,6,149,100,61,20041
42,440,-34.618088,-58.381336,2,Grupo id: 2,1800,1386,6,149,100,61,20042
43,146,-34.6171,-58.38142,2,Grupo id: 2,1799,1372,6,149,100,61,20043
44,677,-34.61597,-58.38142,2,Grupo id: 2,1799,1356,6,149,100,61,20044
45,963,-34.614838,-58.381508,2,Grupo id: 2,1798,1340,6,149,100,61,20045
46,219,-34.61371,-58.38159,2,Grupo id: 2,1797,1324,6,149,100,61,20046
