id,lat,lon,grupo,gdesc,x,y,gr,gg,gb
0,-34.616745,-58.367165,0,Grupo id: 0,1965,1367,43,149,238
1,-34.616817,-58.368195,0,Grupo id: 0,1953,1368,43,149,238
2,-34.61696,-58.369484,0,Grupo id: 0,1938,1370,43,149,238
3,-34.61696,-58.370857,0,Grupo id: 0,1922,1370,43,149,238
4,-34.61696,-58.371887,0,Grupo id: 0,1910,1370,43,149,238
5,-34.61696,-58.373863,0,Grupo id: 0,1887,1370,43,149,238
6,-34.6171,-58.375324,0,Grupo id: 0,1870,1372,43,149,238
7,-34.61724,-58.376614,0,Grupo id: 0,1855,1374,43,149,238
8,-34.61724,-58.377987,0,Grupo id: 0,1839,1374,43,149,238
9,-34.617382,-58.379444,0,Grupo id: 0,1822,1376,43,149,238
